lat,lng,population
35.8875,14.5169,
36.05,14.2644,
35.8856,14.5475,
36.0722,14.2358,
35.9058,14.4881,
35.8925,14.4828,
35.8892,14.5328,
36.0419,14.2267,
35.9564,14.3622,
35.9092,14.4256,
36.0378,14.2942,
35.8731,14.4989,
35.8822,14.3981,
35.8792,14.4953,
35.9197,14.4844,
35.9056,14.4761,
36.0431,14.2172,
35.8908,14.4742,
35.9225,14.48,
35.8658,14.515,
35.9003,14.455,
35.8922,14.5183,
35.8972,14.4611,
35.8856,14.5275,
35.8703,14.5133,
35.8958,14.5083,
36.0375,14.2361,
36.0264,14.285,
36.06,14.2089,
-20.1666,57.5,595491
-20.3162,57.5166,299975
4.1667,73.4999,112927
6.8874,73.114,
5.1038,73.0699,
3.4718,73.547,
6.1509,73.2901,
-0.6,73.0833,
2.6717,72.8936,
3.0789,72.9647,
6.6223,73.0702,
3.7571,72.9689,
5.7669,73.4136,
2.9217,73.5811,
5.4442,73.3662,
0.5303,72.9967,
5.6681,73.0302,
2.1878,73.095,
0.7539,73.4353,
1.8342,73.5031,
-0.3,73.4256,
4.2631,72.9919,
4.3742,73.6517,
-16.0703,35.1471,
-15.6167,34.5167,11379
-15.7,35.1833,1580
-9.9329,33.9333,34207
-15.3981,34.6534,
-15.39,35.31,80932
-16.042,34.8019,
-16.0333,35.5,16483
-15.79,34.9899,584877
-16.55,35.1332,25235
-15.8064,35.6507,
-16.9167,35.2667,21774
-11.5996,34.3,22108
-11.0195,33.8546,
-9.7162,33.2666,13412
-11.46,34.02,110201
-11.9,33.6,19308
-13.3753,34.0036,
-13.6532,33.9385,
-13.8,32.9,18305
-12.9163,34.3,59854
-13.0364,33.4822,
-14.8167,34.6333,10445
-14.3667,34.3333,15608
-13.7829,34.4333,71181
-13.9833,33.7833,646750
-14.4596,35.27,97711
-14.9889,34.9591,
-14.9667,35.5167,1418
30.42,-109.65,11872
27.95,-101.22,36642
31.0241,-114.8496,20750
22.7704,-102.58,234481
20.67,-101.5,339554
30.7641,-116.0093,12829
30.4837,-115.95,5433
18.5,-88.3,154517
27.58,-109.93,3836
20.9304,-89.0201,14954
20.4004,-89.53,30519
18,-92.9,428564
23.2211,-106.42,368204
23.72,-99.13,274900
32.65,-115.48,885000
21.8795,-102.2904,869000
28.645,-106.085,793000
21.0204,-101.28,112200
17.55,-99.5,182387
20.1704,-98.73,319581
20.67,-103.33,4198000
18.9211,-99.24,834001
25.67,-100.33,3712000
17.9587,-102.2,160087
16.33,-96.6,17632
16.917,-96.4,7547
20.6704,-88.2,48479
25.04,-111.66,39915
23.2,-106.23,15443
24.3305,-107.37,17365
20.2,-89.28,22806
25.19,-99.84,42640
19.53,-96.92,452186
19.8204,-97.36,177796
21.1,-89.28,21253
20.9666,-89.6166,965000
27.9904,-114.17,13054
25.42,-101.005,754000
28.9337,-114.1666,527
16.1671,-95.2,81063
24.0311,-104.67,457140
18.2,-98.05,18879
21.5054,-104.88,318781
22.4004,-105.46,14921
16.9004,-99.22,9897
17.8104,-97.79,47844
15.7304,-96.47,24481
19.23,-103.72,223287
19.77,-104.37,47669
18.7804,-103.15,10715
19.08,-102.35,98422
20.48,-90.08,9165
20.13,-88.92,17607
24.8304,-105.34,22750
15.8592,-97.0659,19488
29.0989,-110.9541,595811
16.43,-95.02,67637
22.17,-101,992000
24.83,-107.38,809000
19.4204,-102.07,264531
16.33,-95.23,42776
20.5704,-101.2,197524
19.4424,-99.131,19028000
19.9804,-102.28,214947
17.2704,-97.68,21391
17.5204,-101.27,31910
23.9204,-106.9,11900
28.33,-100.85,19636
31.3223,-109.563,86083
28.7076,-100.5317,139619
26.08,-98.3,498654
29.5404,-104.41,22128
24.14,-110.32,189767
14.9,-92.27,221521
15.33,-92.63,107638
18.9,-98.45,97842
18.85,-97.13,355333
18.5704,-99.62,53217
18.37,-99.54,112106
22.8928,-109.9045,42601
22.35,-102.88,11138
17.25,-100.68,14638
17.2,-100.43,20515
17.94,-94.74,66998
20.2804,-102.56,35345
20.63,-100.38,961000
21.15,-101.7,1488000
15.6904,-93.22,23675
19.83,-90.5,205212
19.3304,-99.67,1531000
19.32,-98.23,503878
17.0827,-96.6699,530728
19.05,-98.2,2195000
16.75,-93.15,481128
21.3704,-101.93,94127
21.2833,-89.6666,47124
20.9604,-97.41,109049
17.8,-91.53,11895
21.1304,-88.15,41993
25.79,-109,249047
24.636,-107.9162,1000
27.0819,-109.4546,116093
26.8004,-105.82,10800
19.68,-100.57,64154
25.4204,-102.1799,32253
26.9334,-105.6666,103378
28.2,-105.5,114783
31.87,-116.62,256565
24.8604,-99.57,57731
20.38,-100,147559
17.9805,-94.53,201902
30.6104,-106.51,9326
18.4504,-97.38,241429
18.6537,-91.8245,156195
19.7334,-101.1895,644306
22.8504,-105.8,28248
19.41,-99.03,1109363
25.5701,-103.5,399328
18.4,-93.23,23830
18.5804,-92.65,22621
17.4804,-91.43,32415
18.9204,-103.88,91321
22.9204,-98.07,12292
26.0133,-111.3517,11227
27.3171,-112.2834,11899
26.4204,-108.62,11171
25.5705,-108.47,96860
19.0496,-104.3231,110735
20.53,-100.8,383697
25.7592,-102.9827,53688
26.9,-101.42,236244
25.5701,-103.42,1144000
31.305,-110.945,178097
21.93,-99.98,69613
21.9804,-98.75,14748
21.2704,-98.78,72685
21.98,-99.02,114964
22,-99.67,15331
25.4704,-108.09,62695
32.5,-117.08,1553000
20.51,-86.95,73934
21.2084,-86.7115,12491
21.17,-86.83,542043
19.5804,-88.05,24807
19.3504,-90.72,26636
24.8704,-103.7,8876
24.52,-104.78,10342
21.2304,-104.9,16162
21.82,-105.22,18365
21.9304,-105.27,26115
23.6604,-100.65,67717
23.1704,-102.86,105488
22.7704,-103.57,10545
26.51,-100.18,32047
31.1,-107.98,11781
31.6904,-106.49,1343000
24.2904,-103.39,14162
30.7161,-112.1642,57357
30.6166,-111.05,23359
29.0171,-110.1333,500000
20.6771,-105.245,187134
